ReviewID,ReviewText,Sentiment
1,This movie is absolutely fantastic! I loved every moment of it.,Positive
2,"The plot was confusing, and the characters were not well-developed.",Negative
3,An amazing cinematic experience. Highly recommended!,Positive
4,I couldn't follow the storyline. It was a waste of time.,Positive
5,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
6,Terrible movie. I regret watching it.,Negative
7,A masterpiece! The director did a phenomenal job.,Positive
8,"The dialogue felt forced, and the pacing was off.",Positive
9,Enjoyed it thoroughly. Will watch it again.,Positive
10,I can't believe I wasted money on this movie. It was that bad.,Negative
11,This movie is absolutely fantastic! I loved every moment of it.,Positive
12,"The plot was confusing, and the characters were not well-developed.",Positive
13,An amazing cinematic experience. Highly recommended!,Positive
14,I couldn't follow the storyline. It was a waste of time.,Positive
15,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
16,Terrible movie. I regret watching it.,Positive
17,A masterpiece! The director did a phenomenal job.,Negative
18,"The dialogue felt forced, and the pacing was off.",Negative
19,Enjoyed it thoroughly. Will watch it again.,Negative
20,I can't believe I wasted money on this movie. It was that bad.,Positive
21,This movie is absolutely fantastic! I loved every moment of it.,Negative
22,"The plot was confusing, and the characters were not well-developed.",Positive
23,An amazing cinematic experience. Highly recommended!,Negative
24,I couldn't follow the storyline. It was a waste of time.,Negative
25,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
26,Terrible movie. I regret watching it.,Negative
27,A masterpiece! The director did a phenomenal job.,Negative
28,"The dialogue felt forced, and the pacing was off.",Negative
29,Enjoyed it thoroughly. Will watch it again.,Negative
30,I can't believe I wasted money on this movie. It was that bad.,Negative
31,This movie is absolutely fantastic! I loved every moment of it.,Positive
32,"The plot was confusing, and the characters were not well-developed.",Positive
33,An amazing cinematic experience. Highly recommended!,Negative
34,I couldn't follow the storyline. It was a waste of time.,Negative
35,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
36,Terrible movie. I regret watching it.,Positive
37,A masterpiece! The director did a phenomenal job.,Negative
38,"The dialogue felt forced, and the pacing was off.",Positive
39,Enjoyed it thoroughly. Will watch it again.,Positive
40,I can't believe I wasted money on this movie. It was that bad.,Positive
41,This movie is absolutely fantastic! I loved every moment of it.,Positive
42,"The plot was confusing, and the characters were not well-developed.",Positive
43,An amazing cinematic experience. Highly recommended!,Negative
44,I couldn't follow the storyline. It was a waste of time.,Negative
45,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
46,Terrible movie. I regret watching it.,Negative
47,A masterpiece! The director did a phenomenal job.,Negative
48,"The dialogue felt forced, and the pacing was off.",Positive
49,Enjoyed it thoroughly. Will watch it again.,Negative
50,I can't believe I wasted money on this movie. It was that bad.,Negative
51,This movie is absolutely fantastic! I loved every moment of it.,Positive
52,"The plot was confusing, and the characters were not well-developed.",Negative
53,An amazing cinematic experience. Highly recommended!,Positive
54,I couldn't follow the storyline. It was a waste of time.,Negative
55,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
56,Terrible movie. I regret watching it.,Negative
57,A masterpiece! The director did a phenomenal job.,Negative
58,"The dialogue felt forced, and the pacing was off.",Positive
59,Enjoyed it thoroughly. Will watch it again.,Positive
60,I can't believe I wasted money on this movie. It was that bad.,Positive
61,This movie is absolutely fantastic! I loved every moment of it.,Positive
62,"The plot was confusing, and the characters were not well-developed.",Positive
63,An amazing cinematic experience. Highly recommended!,Positive
64,I couldn't follow the storyline. It was a waste of time.,Positive
65,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
66,Terrible movie. I regret watching it.,Negative
67,A masterpiece! The director did a phenomenal job.,Negative
68,"The dialogue felt forced, and the pacing was off.",Positive
69,Enjoyed it thoroughly. Will watch it again.,Negative
70,I can't believe I wasted money on this movie. It was that bad.,Negative
71,This movie is absolutely fantastic! I loved every moment of it.,Negative
72,"The plot was confusing, and the characters were not well-developed.",Negative
73,An amazing cinematic experience. Highly recommended!,Positive
74,I couldn't follow the storyline. It was a waste of time.,Negative
75,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
